building_name,exterior_image_url,interior_image_url,geopoint,latitude,longitude,altitude,new_bld_id,submission_uuid,meta_root_uuid
Ndeere 16 and 17 hostel,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708904715/attachments/attCdEgtFrZwCZUoD6vMKGW3/,,-0.008238 34.595961 1506.300048828125 116.0999984741211,-0.008238,34.595961,1506.300049,73,592cae7b-4ffc-4c8a-820c-f0aad41a92f4,uuid:592cae7b-4ffc-4c8a-820c-f0aad41a92f4
Ndeere 15 hostel,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708906838/attachments/attFWejvEpeVGAq75QkAbSB5/,,-0.008234 34.59596 1506.300048828125 98.4000015258789,-0.008234,34.59596,1506.300049,72,956bdcd2-aa5b-4d3a-b856-3ec535664ddb,uuid:956bdcd2-aa5b-4d3a-b856-3ec535664ddb
Ndeere 14 and 15 hostels,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708907818/attachments/attGtppBwRNW3bUugujp43DQ/,,-0.008495 34.595337 1508.0999755859375 135.60000610351562,-0.008495,34.595337,1508.099976,115,e7d5c88e-151e-4b71-a881-60c4ad5ed188,uuid:e7d5c88e-151e-4b71-a881-60c4ad5ed188
Ndeere 14 hostel,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708908712/attachments/attsftnbpzfsFEZ82V8JEqwo/,,-0.00849 34.595337 1508.0999755859375 26.52899932861328,-0.00849,34.595337,1508.099976,71,30c4d915-f84a-40a8-8df1-fa1a76b04bee,uuid:30c4d915-f84a-40a8-8df1-fa1a76b04bee
Washrooms,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708909610/attachments/attQTqpGjvYGbx8vxcAdUQz7/,,-0.008479 34.595336 1508.0999755859375 22.5,-0.008479,34.595336,1508.099976,69,f96a4a11-cfec-48f0-9ad6-701333f9ee14,uuid:f96a4a11-cfec-48f0-9ad6-701333f9ee14
Ndeere 13,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708910773/attachments/attNVLwFCRy8cX2DERaPLx97/,,-0.00849 34.595302 1508.0999755859375 64.0999984741211,-0.00849,34.595302,1508.099976,68,f1d7e21f-81c1-448d-986d-aea3bbc4a2db,uuid:f1d7e21f-81c1-448d-986d-aea3bbc4a2db
Ndeere 13,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708911532/attachments/attevQodzHV2vkpc3LGnhC3Z/,,-0.008202 34.595194 1508.5 23.600000381469727,-0.008202,34.595194,1508.5,70,75a3d6e1-5958-4016-8577-79770d74de62,uuid:75a3d6e1-5958-4016-8577-79770d74de62
Ndeere 12 hostel,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708912128/attachments/attAXxDgXSbBR7nZNGcwsYWJ/,,-0.008352 34.594742 1509.5 32.0989990234375,-0.008352,34.594742,1509.5,66,f11fe79b-c544-44c7-96ce-4c58e3ff85cd,uuid:f11fe79b-c544-44c7-96ce-4c58e3ff85cd
Ndeere 12 hostel,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708912849/attachments/att9C3kNjeGcNqew8ybDYUYD/,,-0.008474 34.595326 1508.0999755859375 28.18000030517578,-0.008474,34.595326,1508.099976,67,8d2f1281-37c8-4014-971f-0eb040b43944,uuid:8d2f1281-37c8-4014-971f-0eb040b43944
Ndeere 11 hostel,https://kf.kobotoolbox.org/api/v2/assets/aaTu2MFuhvnu5NjANoCwa5/data/708914227/attachments/atttumWQF8kZTXpMWAEcBJPB/,,-0.008381 34.594694 1509.5 20.7810001373291,-0.008381,34.594694,1509.5,68,16cafd8e-b397-48b1-9991-f3afab49ae2b,uuid:16cafd8e-b397-48b1-9991-f3afab49ae2b
